n_over_m,sparsity,condition,seed,feature,w_norm,I_i,D_i,self_drop,collateral,n_represented
2,0.8,lat,0,5,1.8493492603302002,0.05329182371497154,0.49674496054649353,1.0224649906158447,0.06011451780796051,18
2,0.8,lat,0,6,1.8486074209213257,0.053298842161893845,0.4963032901287079,1.0219389200210571,0.060122523456811905,18
2,0.8,lat,0,7,1.903147578239441,0.05280845984816551,0.49842289090156555,1.0390596389770508,0.06051555648446083,18
2,0.8,lat,0,8,1.9056308269500732,0.05285866558551788,0.49765026569366455,1.0421665906906128,0.06258908659219742,18
2,0.8,lat,0,9,1.8711391687393188,0.05339380353689194,0.49714720249176025,1.0233546495437622,0.05916272848844528,18
2,0.8,lat,0,10,1.9572339057922363,0.05343199521303177,0.49803000688552856,0.998906135559082,0.059685952961444855,18
2,0.8,lat,0,11,1.8870893716812134,0.05314849689602852,0.49483513832092285,1.0357847213745117,0.060262713581323624,18
2,0.8,lat,0,12,1.8678451776504517,0.05338136851787567,0.4954638183116913,1.0059045553207397,0.060212962329387665,18
2,0.8,lat,0,13,1.9511630535125732,0.05342863127589226,0.49498727917671204,1.0155723094940186,0.05873269587755203,18
2,0.8,lat,0,14,1.991416096687317,0.05369539186358452,0.4962592124938965,1.0195930004119873,0.05945616587996483,18
2,0.8,lat,0,15,1.990351676940918,0.05370228365063667,0.49577340483665466,1.01090669631958,0.05997491627931595,18
2,0.8,lat,0,16,0.5377172231674194,0.15800848603248596,0.21089036762714386,0.31705182790756226,0.05681240186095238,18
2,0.8,lat,0,17,1.0051014423370361,0.15799060463905334,0.7374680042266846,0.9656848907470703,0.018619609996676445,18
2,0.8,lat,1,0,1.8035823106765747,0.0020271583925932646,0.9579018950462341,1.1376389265060425,-2.537153886805754e-05,18
2,0.8,lat,1,1,1.8716237545013428,0.000780352158471942,0.9839510321617126,1.1381429433822632,-4.9719314120011404e-05,18
2,0.8,lat,1,2,2.007101535797119,0.053171075880527496,0.4979161024093628,1.0495874881744385,0.061780158430337906,18
2,0.8,lat,1,3,2.007077693939209,0.0531686469912529,0.4979189932346344,1.0511927604675293,0.06170040741562843,18
2,0.8,lat,1,4,2.0632028579711914,0.053506940603256226,0.5360879898071289,1.0476572513580322,0.05378660187125206,18
2,0.8,lat,1,5,1.8262395858764648,0.053677093237638474,0.5091387629508972,1.0398483276367188,0.05814675614237785,18
2,0.8,lat,1,6,2.046165943145752,0.05302942916750908,0.4995988607406616,1.0394998788833618,0.062038604170084,18
2,0.8,lat,1,7,2.141521453857422,0.05312272161245346,0.5028232336044312,1.0228039026260376,0.058697670698165894,18
2,0.8,lat,1,8,2.0418338775634766,0.05303416773676872,0.4975241720676422,1.0546228885650635,0.06117544323205948,18
2,0.8,lat,1,9,2.0257420539855957,0.05301399156451225,0.4994122087955475,1.0594033002853394,0.05970875546336174,18
2,0.8,lat,1,10,2.0645663738250732,0.053907424211502075,0.4975060522556305,1.0260576009750366,0.05949179455637932,18
2,0.8,lat,1,11,2.021233558654785,0.05300553888082504,0.4972333610057831,1.015149474143982,0.06231527402997017,18
2,0.8,lat,1,12,2.0563604831695557,0.05384228751063347,0.49368980526924133,1.0126298666000366,0.060362935066223145,18
2,0.8,lat,1,13,2.123702049255371,0.053146909922361374,0.49450233578681946,0.9980887770652771,0.06013712286949158,18
2,0.8,lat,1,14,1.2071502208709717,0.15810464322566986,0.8863134980201721,1.1075364351272583,0.005916212685406208,18
2,0.8,lat,1,15,0.345152348279953,0.15803229808807373,0.07278873771429062,0.10064727067947388,0.06526752561330795,18
2,0.8,lat,1,17,1.7723883390426636,0.05363882705569267,0.479802668094635,0.9895622730255127,0.0611613430082798,18
